"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000010122",-2.38549758953377,7.27239124455358,414.563207479685,1.17751013061653e-07,0.000153592274932579
"ENSMUSG00000025190",2.19614500343266,7.81274190747391,364.193833785099,1.86738328185507e-07,0.000153592274932579
"ENSMUSG00000010025",-1.87254901380331,8.47591985804304,142.669218703073,5.03878469002284e-06,0.00276293360502919
"ENSMUSG00000096054",1.38734808425795,8.00673326926874,121.309601132041,8.81751080675188e-06,0.00362620131927671
"ENSMUSG00000030287",1.05037393275889,7.85172373958946,113.466021115481,1.10904535586693e-05,0.0036487592208022
"ENSMUSG00000064215",-2.763604636485,7.84159603045979,96.9589327849923,1.89577252260662e-05,0.00488217409724884
"ENSMUSG00000014867",-0.918797906339608,8.67588496990123,94.1027389185793,2.09808746465153e-05,0.00488217409724884
"ENSMUSG00000040147",-0.955579726547918,7.07363035179342,90.7256149515467,2.37430959136722e-05,0.00488217409724884
"ENSMUSG00000070644",1.11665273939532,8.85570809109214,83.3386819538484,3.16119518054647e-05,0.00577796230222104
"ENSMUSG00000060803",1.48136431788465,10.0949904562971,76.3214477052414,4.24439930661513e-05,0.00698203685938189
"ENSMUSG00000022587",-1.92060721708964,7.83366312982641,73.4589272173691,4.821320022503e-05,0.00721006494274312
"ENSMUSG00000029545",1.29280447827975,7.39742495383317,70.3473890843604,5.56710391614587e-05,0.00763157161838329
"ENSMUSG00000057074",-1.19658697583538,7.99989883521593,63.0172315184689,8.00597490984182e-05,0.0101306374820691
"ENSMUSG00000062624",0.794355625598555,9.4578384260133,60.2320417869193,9.28504562306269e-05,0.0102736527607321
"ENSMUSG00000032080",-1.94056687355796,9.25860127787039,60.0683644572524,9.36807242619948e-05,0.0102736527607321
"ENSMUSG00000024026",-1.40849113570762,9.6519842298968,58.3785026514636,0.000102833092511228,0.0105725273238106
"ENSMUSG00000049152",-0.926940445492882,8.33865037091601,55.8956972702351,0.000118460006297303,0.0110720955430623
"ENSMUSG00000030513",-0.782072388513812,7.89561567249029,55.5099698121218,0.000121153629042627,0.0110720955430623
"ENSMUSG00000018171",0.977352794079529,7.7928152051394,51.9973884186088,0.000149681901853484,0.0122548496857397
"ENSMUSG00000027261",0.739303941620235,8.46618025380187,51.5195391023684,0.000154201260511204,0.0122548496857397
"ENSMUSG00000025270",-0.995926814228403,7.81897627467092,51.2889042528857,0.000156444889605187,0.0122548496857397
"ENSMUSG00000044788",-0.598334576329785,7.7609453873518,49.6844839184028,0.000173265102987751,0.0129555042915841
"ENSMUSG00000070047",-0.728255448061191,7.27302658278888,46.3659294761542,0.000216084930244102,0.0143323623124658
"ENSMUSG00000025059",0.633765168943832,7.73387728580514,46.3490385441295,0.000216335591827188,0.0143323623124658
"ENSMUSG00000000594",-0.861466173491385,7.19559602015591,46.2497171705118,0.000217817056420453,0.0143323623124658
"ENSMUSG00000054676",-0.720238422185336,8.33189437980301,45.4642602058988,0.000230001430016524,0.0145520135529685
"ENSMUSG00000022003",2.25821555167192,7.07017352669377,44.6792687333252,0.000243061691926692,0.0148087586377559
"ENSMUSG00000019232",1.41675590599112,8.10853345539321,43.3905645243781,0.000266628713492511,0.0154961783412619
"ENSMUSG00000074882",1.05935606986251,7.17686991018732,42.4884867190466,0.00028488219549645,0.0154961783412619
"ENSMUSG00000074264",-0.850945232760026,7.93961880168344,42.1334337631153,0.000292503237975044,0.0154961783412619
"ENSMUSG00000063406",0.657083600062983,7.04648231973244,41.7416363664275,0.000301217812424706,0.0154961783412619
"ENSMUSG00000030541",-0.954547210925745,7.08258337939764,41.7315981590519,0.000301445414541265,0.0154961783412619
"ENSMUSG00000024254",0.856828151752443,7.89238234588229,40.0968376654398,0.000341638550889371,0.0168713320297043
"ENSMUSG00000079012",0.78610999809537,9.99190874332915,39.8346698906603,0.000348708382376866,0.0168713320297043
"ENSMUSG00000014077",0.739588533483897,7.75401672322741,38.7388976384459,0.000380363492045964,0.0178286821270652
"ENSMUSG00000009378",-0.67483071071205,8.03827281728362,38.4227942316702,0.000390171766914498,0.0178286821270652
"ENSMUSG00000031231",0.622691704275399,7.64048218806628,37.8964518007176,0.000407231775888266,0.018105304630708
